source_order	canonical_unit_id	legacy_id_reference	image_index	source_image	source_image_sha256	row_in_image	visual_label_transcription	source_binding_status	raw_full_row_transcription_status
21	MEN-A1-00021	MEN-A1-0021	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	21	bitten um	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
22	MEN-A1-00022	MEN-A1-0022	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	22	kosten	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
23	MEN-A1-00023	MEN-A1-0023	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	23	helfen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
24	MEN-A1-00024	MEN-A1-0024	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	24	brauchen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
25	MEN-A1-00025	MEN-A1-0025	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	25	finden	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
26	MEN-A1-00026	MEN-A1-0026	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	26	sagen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
27	MEN-A1-00027	MEN-A1-0027	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	27	bieten	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
28	MEN-A1-00028	MEN-A1-0028	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	28	fehlen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
29	MEN-A1-00029	MEN-A1-0029	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	29	versteigern	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
30	MEN-A1-00030	MEN-A1-0030	1	Screenshot 2026-07-29 102200(20260901-125813).png	c5f3f56000f12c3c1d9fbc295c1688781974622d72b29f7ccff082e060e530fc	30	gehen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
31	MEN-A1-00031	MEN-A1-0031	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	1	suchen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
32	MEN-A1-00032	MEN-A1-0032	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	2	besuchen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
33	MEN-A1-00033	MEN-A1-0033	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	3	backen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
34	MEN-A1-00034	MEN-A1-0034	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	4	treffen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
35	MEN-A1-00035	MEN-A1-0035	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	5	sich treffen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
36	MEN-A1-00036	MEN-A1-0036	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	6	kochen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
37	MEN-A1-00037	MEN-A1-0037	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	7	lieben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
38	MEN-A1-00038	MEN-A1-0038	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	8	malen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
39	MEN-A1-00039	MEN-A1-0039	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	9	Rad fahren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
40	MEN-A1-00040	MEN-A1-0040	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	10	schwimmen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
41	MEN-A1-00041	MEN-A1-0041	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	11	singen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
42	MEN-A1-00042	MEN-A1-0042	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	12	spazieren gehen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
43	MEN-A1-00043	MEN-A1-0043	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	13	bummeln	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
44	MEN-A1-00044	MEN-A1-0044	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	14	wandern	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
45	MEN-A1-00045	MEN-A1-0045	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	15	tanzen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
46	MEN-A1-00046	MEN-A1-0046	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	16	können	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
47	MEN-A1-00047	MEN-A1-0047	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	17	rauchen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
48	MEN-A1-00048	MEN-A1-0048	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	18	verwenden	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
49	MEN-A1-00049	MEN-A1-0049	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	19	sich bedanken	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
50	MEN-A1-00050	MEN-A1-0050	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	20	chatten	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
51	MEN-A1-00051	MEN-A1-0051	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	21	sehen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
52	MEN-A1-00052	MEN-A1-0052	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	22	nach jdm./etw. sehen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
53	MEN-A1-00053	MEN-A1-0053	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	23	wissen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
54	MEN-A1-00054	MEN-A1-0054	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	24	von etw. wissen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
55	MEN-A1-00055	MEN-A1-0055	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	25	absagen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
56	MEN-A1-00056	MEN-A1-0056	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	26	betreffen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
57	MEN-A1-00057	MEN-A1-0057	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	27	vorschlagen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
58	MEN-A1-00058	MEN-A1-0058	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	28	tauschen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
59	MEN-A1-00059	MEN-A1-0059	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	29	etw. gegen etw. tauschen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
60	MEN-A1-00060	MEN-A1-0060	2	Screenshot 2026-07-29 102215(8).png	ae489c5240739384c45646bb434c9862f31593f1661bb860bfd6bb02fc8a3859	30	korrigieren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
61	MEN-A1-00061	MEN-A1-0061	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	1	essen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
62	MEN-A1-00062	MEN-A1-0062	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	2	mögen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
63	MEN-A1-00063	MEN-A1-0063	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	3	trinken	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
64	MEN-A1-00064	MEN-A1-0064	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	4	auf jdn./etw. trinken	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
65	MEN-A1-00065	MEN-A1-0065	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	5	kennen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
66	MEN-A1-00066	MEN-A1-0066	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	6	kennenlernen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
67	MEN-A1-00067	MEN-A1-0067	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	7	sich kennenlernen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
68	MEN-A1-00068	MEN-A1-0068	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	8	verkehren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
69	MEN-A1-00069	MEN-A1-0069	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	9	abfahren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
70	MEN-A1-00070	MEN-A1-0070	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	10	abholen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
71	MEN-A1-00071	MEN-A1-0071	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	11	holen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
72	MEN-A1-00072	MEN-A1-0072	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	12	ankommen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
73	MEN-A1-00073	MEN-A1-0073	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	13	aussteigen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
74	MEN-A1-00074	MEN-A1-0074	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	14	einsteigen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
75	MEN-A1-00075	MEN-A1-0075	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	15	umsteigen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
76	MEN-A1-00076	MEN-A1-0076	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	16	anrufen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
77	MEN-A1-00077	MEN-A1-0077	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	17	einkaufen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
78	MEN-A1-00078	MEN-A1-0078	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	18	fernsehen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
79	MEN-A1-00079	MEN-A1-0079	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	19	mitbringen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
80	MEN-A1-00080	MEN-A1-0080	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	20	nehmen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
81	MEN-A1-00081	MEN-A1-0081	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	21	durchsagen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
82	MEN-A1-00082	MEN-A1-0082	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	22	schließen aus	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
83	MEN-A1-00083	MEN-A1-0083	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	23	üben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
84	MEN-A1-00084	MEN-A1-0084	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	24	aufräumen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
85	MEN-A1-00085	MEN-A1-0085	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	25	einladen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
86	MEN-A1-00086	MEN-A1-0086	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	26	jdn. zu etw. einladen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
87	MEN-A1-00087	MEN-A1-0087	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	27	lachen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
88	MEN-A1-00088	MEN-A1-0088	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	28	über etw. lachen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
89	MEN-A1-00089	MEN-A1-0089	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	29	lernen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
90	MEN-A1-00090	MEN-A1-0090	3	Screenshot 2026-07-29 102229(8).png	7fa291d5a4655b55f78030f2916180eedb8504b16c443c5be0d5377ffb724918	30	reden	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
91	MEN-A1-00091	MEN-A1-0091	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	1	schlafen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
92	MEN-A1-00092	MEN-A1-0092	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	2	weinen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
93	MEN-A1-00093	MEN-A1-0093	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	3	tränen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
94	MEN-A1-00094	MEN-A1-0094	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	4	denken	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
95	MEN-A1-00095	MEN-A1-0095	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	5	an jdn./etw. denken	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
96	MEN-A1-00096	MEN-A1-0096	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	6	meinen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
97	MEN-A1-00097	MEN-A1-0097	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	7	fliegen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
98	MEN-A1-00098	MEN-A1-0098	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	8	springen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
99	MEN-A1-00099	MEN-A1-0099	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	9	bei jdm. studieren	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
100	MEN-A1-00100	MEN-A1-0100	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	10	feiern	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
101	MEN-A1-00101	MEN-A1-0101	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	11	anfangen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
102	MEN-A1-00102	MEN-A1-0102	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	12	mit etw. anfangen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
103	MEN-A1-00103	MEN-A1-0103	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	13	aufhören	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
104	MEN-A1-00104	MEN-A1-0104	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	14	mit etw. aufhören	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
105	MEN-A1-00105	MEN-A1-0105	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	15	dauern	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
106	MEN-A1-00106	MEN-A1-0106	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	16	gefallen	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
107	MEN-A1-00107	MEN-A1-0107	4	Screenshot 2026-07-29 102246(8).png	eed67949e51437cb9bdff583afa9a1684d5dffb0104e82b2c8c6e6b24cd8e435	17	geben	IMAGE_BOUND	PENDING_FIELD_LEVEL_EXTRACTION
